parent_domain,subdomain_fqdn,prefix,source,record_type,target_or_root
canadaemcs.com,app.canadaemcs.com,app,dns,A,5.78.190.143
canadianacademyoflearning.com,online.canadianacademyoflearning.com,online,dns,A,35.232.226.212
crmconex.com,riversdale.crmconex.com,riversdale,hosting,,/home/u229151323/domains/crmconex.com/public_html/riversdale
globalsoftwarepartners.com,ai.globalsoftwarepartners.com,ai,dns,A,185.158.133.1
myeducrm.com,email.www.mail.myeducrm.com,email.www.mail,dns,CNAME,mailgun.org.
myeducrm.net,ungradedassignmentsendpoint.myeducrm.net,ungradedassignmentsendpoint,dns,A,34.16.51.59
myeducrm.online,email.myeducrm.online,email,dns,CNAME,mailgun.org.
myeducrm.online,email.www.myeducrm.online,email.www,dns,CNAME,mailgun.org.
qwschool.org,email.qwschool.org,email,dns,CNAME,mailgun.org.
qwschool.org,email.www.qwschool.org,email.www,dns,CNAME,mailgun.org.
schoolconex.ai,email.schoolconex.ai,email,dns,CNAME,mailgun.org.
schoolconex.com,ads.schoolconex.com,ads,hosting,,/home/u881944871/domains/schoolconex.com/public_html/ads
schoolconex.com,bounce.payment.schoolconex.com,bounce.payment,dns,CNAME,custom-email-domain.stripe.com.
schoolconex.com,bounce.www.schoolconex.com,bounce.www,dns,CNAME,custom-email-domain.stripe.com.
schoolconex.com,client.schoolconex.com,client,hosting,,/home/u881944871/domains/schoolconex.com/public_html/client
schoolconex.com,crm.schoolconex.com,crm,hosting,,/home/u881944871/domains/schoolconex.com/public_html/crm
schoolconex.com,demo.schoolconex.com,demo,dns,A,34.132.149.151
schoolconex.com,email.finance.schoolconex.com,email.finance,dns,CNAME,mailgun.org.
schoolconex.com,email.mail.schoolconex.com,email.mail,dns,CNAME,mailgun.org.
schoolconex.com,email.schoolconex.com,email,hosting,,/home/u881944871/domains/schoolconex.com/public_html/email
schoolconex.com,email.www.mail.schoolconex.com,email.www.mail,dns,CNAME,mailgun.org.
schoolconex.com,info.schoolconex.com,info,hosting,,/home/u881944871/domains/schoolconex.com/public_html/info
schoolconex.com,members.schoolconex.com,members,hosting,,/home/u881944871/domains/schoolconex.com/public_html/members
schoolconex.com,outbound.intercom.schoolconex.com,outbound.intercom,dns,CNAME,rp.schoolconex.intercom-mail.com.
schoolconex.com,pay.schoolconex.com,pay,dns,CNAME,hosted-checkout.stripecdn.com.
schoolconex.com,pds.pdrserv.schoolconex.com,pds.pdrserv,dns,CNAME,pds1qeyb2655.pds12qeyb2655.pdrserv.com.
schoolconex.com,pricing.schoolconex.com,pricing,hosting,,/home/u881944871/domains/schoolconex.com/public_html/pricing
schoolconex.com,sis.schoolconex.com,sis,hosting,,/home/u881944871/domains/schoolconex.com/public_html/sis
schoolcrmpro.com,ads.schoolcrmpro.com,ads,hosting,,/home/u229151323/domains/schoolcrmpro.com/public_html/ads
schoolcrmpro.com,members.schoolcrmpro.com,members,dns,A,82.197.83.80
sisconex.com,app.sisconex.com,app,dns,A,185.158.133.1
sisconex.com,y466m72qtpub.sisconex.com,y466m72qtpub,dns,CNAME,gv-rk73uaedvd3xio.dv.googlehosted.com.
